Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3
4296,207,0,36,579
4311,204,0,39,581
4326,199,0,41,569
4341,199,0,46,567
4356,203,0,42,568
4371,196,0,45,561
4386,195,0,48,550
4401,188,0,56,553
4416,193,0,55,547
4432,189,0,60,545
4447,190,0,56,543
4462,193,0,55,533
4477,185,0,67,527
4492,184,0,65,526
4507,188,0,66,523
4522,182,0,65,526
4537,184,0,73,515
4552,182,0,75,505
4567,176,0,76,503
4582,177,0,71,494
4597,177,0,74,502
4612,167,0,83,497
4628,174,0,79,494
4643,173,0,83,496
4658,176,0,88,487
4673,171,0,88,480
4688,163,0,96,483
4703,164,0,93,480
4718,167,0,94,480
4733,164,0,99,475
4748,169,0,103,474
4763,169,0,100,472
4778,167,0,107,464
4793,159,0,100,460
4808,158,0,98,460
4824,156,0,107,449
4839,143,0,112,452
4854,145,0,107,440
4869,147,0,105,448
4884,144,0,112,438
4899,140,0,118,434
4914,135,0,113,432
4929,132,0,115,433
4944,131,0,120,432
4959,131,0,125,422
4974,128,0,124,422
4989,127,0,117,423
5004,120,0,124,417
5019,121,0,131,415
5035,115,0,125,414
5050,112,0,125,408
5065,105,0,131,412
5080,108,0,136,412
5095,102,0,135,399
5110,99,0,127,407
5125,99,0,133,399
5140,95,0,140,401
5155,93,0,143,401
5170,95,0,137,391
5185,92,0,144,387
5200,92,0,147,391
5215,86,0,139,387
5231,91,0,145,374
5246,81,0,148,385
5261,79,0,148,382
5276,78,0,144,376
5291,81,0,156,376
5306,73,0,157,381
5321,70,0,159,372
5336,75,0,158,371
5351,73,0,159,374
5366,71,0,163,365
5381,71,0,163,369
5396,73,0,166,356
5411,66,0,167,355
5427,61,0,167,353
5442,52,0,168,348
5457,48,0,164,345
5472,36,0,173,344
5487,39,0,172,337
5502,26,0,167,345
5517,27,0,179,341
5532,25,0,176,337
5547,21,0,179,340
5562,14,0,181,340
5577,7,0,176,329
5592,12,0,182,327
5607,3,0,178,327
5622,0,0,190,324
5638,0,0,190,319
5653,0,0,190,319
5668,2,0,195,321
5683,0,0,199,312
5698,0,0,196,312
5713,0,0,204,311
5728,0,0,202,305
5743,0,0,203,304
5758,0,0,207,301
5773,0,0,211,304
5788,0,0,206,305
5803,0,0,209,300
5818,0,0,213,292
5834,0,0,220,287
5849,0,0,218,289
5864,0,0,221,289
5879,0,1,224,280
5894,0,12,222,284
5909,0,13,230,282
5924,0,17,224,273
5939,0,12,227,271
5954,0,20,231,268
5969,0,14,238,257
5984,0,23,238,262
5999,0,24,241,254
6014,0,18,240,255
6030,0,28,239,252
6045,0,22,240,255
6060,0,31,243,255
6075,0,31,245,248
6090,0,38,249,240
6105,0,35,244,241
6120,0,39,253,239
6135,0,35,252,240
6150,0,38,259,233
6165,0,41,259,235
6180,0,42,257,236
6195,0,43,262,225
6210,0,46,268,227
6225,0,52,270,226
6241,0,54,268,220
6256,0,54,271,214
6271,0,60,267,220
6286,0,59,268,214
6301,0,58,275,209
6316,0,57,284,204
6331,0,66,280,210
6346,0,67,279,204
6361,0,63,284,204
6376,0,71,277,206
6391,0,71,281,201
6406,0,67,292,199
6421,0,71,290,201
6437,0,77,287,190
6452,0,76,281,193
6467,0,75,291,195
6482,0,79,291,188
6497,0,92,292,191
6512,0,88,290,187
6527,0,88,295,180
6542,0,89,300,187
6557,0,94,307,186
6572,0,86,308,178
6587,0,94,310,180
6602,0,88,316,183
6617,0,100,317,184
6633,0,103,310,178
6648,0,102,319,179
6663,0,103,323,174
6678,0,112,331,168
6693,0,105,327,171
6708,0,115,334,169
6723,0,118,339,166
6738,0,120,345,169
6753,0,120,344,166
6768,0,118,344,165
6783,0,121,353,169
6798,0,127,350,167
6813,0,126,356,161
6828,0,121,367,158
6844,0,129,364,163
6859,0,134,368,154
6874,0,124,374,159
6889,0,133,376,153
6904,0,132,384,156
6919,0,137,380,150
6934,0,132,390,136
6949,0,139,393,143
6964,0,141,394,140
6979,0,143,399,133
6994,0,132,401,139
7009,0,143,404,130
7024,0,142,416,135
7040,0,140,418,132
7055,0,145,419,124
7070,0,144,423,129
7085,0,147,430,120
7100,0,152,435,121
7115,0,153,432,120
7130,0,151,446,108
7145,0,151,450,116
7160,0,152,454,111
7175,0,151,455,104
7190,0,157,462,105
7205,0,160,467,100
7220,0,163,460,100
7236,0,167,467,103
7251,0,172,482,97
7266,0,161,477,89
7281,0,167,483,92
7296,0,172,487,88
7311,0,161,492,78
7326,0,168,491,82
7341,0,174,493,78
7356,0,179,499,79
7371,0,177,502,81
7386,0,178,508,76
7401,0,180,509,78
7416,0,178,515,71
7431,0,186,515,75
7447,0,180,516,67
7462,0,188,517,67
7477,4,188,520,66
7492,17,192,527,70
7507,14,190,532,63
7522,24,199,527,63
7537,26,196,536,58
7552,23,193,542,56
7567,28,195,545,54
7582,25,198,545,50
7597,25,199,551,48
7612,31,201,553,46
7627,28,209,556,35
7643,24,220,559,35
7658,32,226,556,28
7673,31,224,566,19
7688,35,230,566,19
7703,39,230,568,14
7718,38,229,579,19
7733,41,229,583,4
7748,39,230,577,0
7763,44,225,575,0
7778,48,229,582,0
7793,49,227,583,0
7808,49,234,585,0
7823,47,237,593,0
7839,55,239,586,0
7854,56,228,593,0
7869,60,236,590,0
7884,58,243,598,0
7899,57,240,604,0
7914,67,243,592,0
7929,65,243,604,0
7944,66,246,614,0
7959,68,246,609,0
7974,73,253,606,0
7989,72,255,615,0
8004,78,257,617,0
8019,73,259,611,0
8034,83,259,624,0
8050,76,265,623,0
8065,83,263,626,0
8080,83,271,633,0
8095,84,270,629,0
8110,89,273,632,0
8125,87,275,634,0
8140,95,276,644,0
8155,94,277,641,0
8170,88,281,643,0
8185,99,275,646,0
8200,103,286,644,0
8215,100,281,649,0
8230,99,286,652,0
8246,97,284,659,0
8261,103,284,662,0
8276,110,287,659,0
8291,110,287,655,0
8306,112,291,668,0
8321,110,293,671,0
8336,110,292,668,0
8351,110,289,671,0
8366,115,293,675,0
8381,122,292,679,0
8396,124,299,675,0
8411,125,298,684,0
8426,131,304,688,0
8442,133,311,688,0
8457,137,316,694,0
8472,137,310,691,0
8487,139,319,688,0
8502,140,313,696,0
8517,141,319,691,0
8532,140,324,704,0
8547,140,333,704,0
8562,135,344,707,0
8577,144,351,707,0
8592,141,355,711,0
8607,145,359,716,0
8622,151,355,717,0
8637,145,363,714,0
8653,150,363,724,0
8668,151,368,716,0
8683,156,367,728,0
8698,158,376,734,0
8713,154,377,723,0
8728,156,376,735,0
8743,159,385,742,0
8758,162,390,748,0
8773,156,393,745,0
8788,163,397,748,0
8803,163,400,750,0
8818,162,395,752,0
8833,166,403,754,0
8849,169,411,755,0
8864,167,412,763,0
8879,171,423,760,0
8894,175,423,766,0
8909,167,432,771,0
8924,176,432,765,0
8939,176,435,775,0
8954,176,440,771,0
8969,177,440,775,0
8984,181,440,782,0
8999,182,451,787,0
9014,177,455,790,0
9029,187,455,789,0
9045,189,459,791,0
9060,184,466,792,0
9075,189,472,792,0
9090,191,475,795,0
9105,188,479,787,0
9120,198,483,798,0
9135,195,487,802,0
9150,195,487,804,0
9165,201,494,799,0
