Time (seconds),DLS Value,Temperature
0.0002601146697998047,615.0,25.0
0.00040221214294433594,617.0,25.0
0.0005240440368652344,618.0,25.0
0.0006361007690429688,618.0,25.0
0.0007431507110595703,618.0,25.0
0.0008502006530761719,619.0,25.0
0.0009570121765136719,619.0,25.0
0.0010631084442138672,620.0,25.0
0.0011701583862304688,620.0,25.0
0.0012760162353515625,620.0,25.0
0.0013821125030517578,620.0,25.0
0.0014870166778564453,619.0,25.0
0.0015931129455566406,619.0,25.0
0.0017180442810058594,619.0,25.0
0.0018260478973388672,620.0,25.0
0.001931905746459961,619.0,25.0
0.0020530223846435547,619.0,25.0
0.0021648406982421875,619.0,25.0
0.002270936965942383,620.0,25.0
0.002379894256591797,620.0,25.0
0.0024890899658203125,619.0,25.0
0.0025980472564697266,619.0,25.0
0.003027200698852539,620.0,25.0
0.003528118133544922,619.0,25.0
0.0037560462951660156,620.0,25.0
0.0038759708404541016,620.0,25.0
0.003981113433837891,619.0,25.0
0.004086017608642578,619.0,25.0
0.004190206527709961,620.0,25.0
0.004327058792114258,619.0,25.0
0.004415988922119141,619.0,25.0
0.0045108795166015625,620.0,25.0
0.004617214202880859,620.0,25.0
0.0047299861907958984,620.0,25.0
0.004937171936035156,620.0,25.0
0.005214214324951172,620.0,25.0
0.00533294677734375,619.0,25.0
0.005522012710571289,620.0,25.0
0.005631923675537109,620.0,25.0
0.0057370662689208984,620.0,25.0
0.005828142166137695,620.0,25.0
0.0059320926666259766,620.0,25.0
0.006021022796630859,619.0,25.0
0.0061109066009521484,620.0,25.0
0.006198883056640625,620.0,25.0
0.006288051605224609,619.0,25.0
0.006376028060913086,619.0,25.0
0.006464958190917969,620.0,25.0
0.006552934646606445,619.0,25.0
0.006651163101196289,619.0,25.0
0.006739139556884766,620.0,25.0
0.006826877593994141,620.0,25.0
0.006947040557861328,619.0,25.0
0.007035017013549805,619.0,25.0
0.007124185562133789,619.0,25.0
0.007370948791503906,619.0,25.0
0.007565975189208984,620.0,25.0
0.00767207145690918,620.0,25.0
0.0077631473541259766,620.0,25.0
0.007887125015258789,619.0,25.0
0.00797724723815918,620.0,25.0
0.008064985275268555,619.0,25.0
0.008303165435791016,619.0,25.0
0.008435249328613281,620.0,25.0
0.008530139923095703,620.0,25.0
0.008625030517578125,619.0,25.0
0.00872492790222168,619.0,25.0
0.00908803939819336,619.0,25.0
0.009217023849487305,619.0,25.0
0.009310245513916016,620.0,25.0
0.009399890899658203,620.0,25.0
0.009489059448242188,620.0,25.0
0.009584188461303711,619.0,25.0
0.009672164916992188,620.0,25.0
0.009762048721313477,619.0,25.0
0.009855985641479492,619.0,25.0
0.009958028793334961,620.0,25.0
0.010046243667602539,620.0,25.0
0.01013493537902832,620.0,25.0
0.010225057601928711,620.0,25.0
0.010313272476196289,620.0,25.0
0.010586023330688477,620.0,25.0
0.010779142379760742,620.0,25.0
0.010907173156738281,620.0,25.0
0.011018991470336914,620.0,25.0
0.01112222671508789,619.0,25.0
0.011358976364135742,619.0,25.0
0.011439085006713867,620.0,25.0
0.011509895324707031,619.0,25.0
0.011768102645874023,620.0,25.0
0.01195216178894043,619.0,25.0
0.012035131454467773,619.0,25.0
0.012171030044555664,619.0,25.0
0.012299060821533203,619.0,25.0
0.0123748779296875,619.0,25.0
0.012444019317626953,620.0,25.0
0.012513875961303711,619.0,25.0
0.012583017349243164,619.0,25.0
0.012658119201660156,620.0,25.0
0.01272892951965332,619.0,25.0
0.012798070907592773,619.0,25.0
0.012866973876953125,620.0,25.0
0.012937068939208984,620.0,25.0
0.013005971908569336,620.0,25.0
0.013075113296508789,620.0,25.0
