Time(microseconds),Data_set 0,Data_set 1,Data_set 2,Data_set 3,Data_set 4,Data_set 5,Data_set 6
0.0,608,608,608,608,608,606,608
8.824375,608,596,598,604,600,606,608
17.64875,595,595,595,595,591,606,595
26.473125,593,595,595,593,593,604,595
35.2975,595,595,595,595,593,598,595
44.121875,593,595,595,593,593,593,595
52.94625,595,595,595,593,593,593,598
61.770624999999995,595,595,595,595,593,593,598
70.595,595,595,595,595,593,593,598
79.419375,595,595,596,595,595,595,600
88.24375,595,595,598,595,595,595,600
97.068125,596,595,598,595,595,595,600
105.8925,595,598,598,595,595,595,600
114.716875,598,598,598,595,595,595,600
123.54124999999999,598,598,600,598,595,595,600
132.365625,598,598,600,595,595,595,600
141.19,598,600,600,596,595,595,600
150.014375,600,600,600,598,598,595,600
158.83875,598,600,600,595,600,595,600
167.663125,600,600,600,598,598,595,600
176.4875,600,600,600,598,600,598,600
185.311875,600,600,600,598,600,596,600
194.13625,600,600,600,600,600,598,600
202.960625,600,600,600,600,600,600,600
211.785,600,600,600,600,600,600,600
220.609375,600,600,600,600,600,600,600
229.43375,600,600,600,600,600,600,600
238.258125,600,600,600,600,600,600,600
247.08249999999998,600,600,600,600,600,600,600
255.90687499999999,600,600,600,600,600,600,600
264.73125,600,600,600,600,600,600,600
273.555625,600,600,600,600,600,600,600
282.38,600,600,600,600,600,600,600
291.20437499999997,600,600,600,600,600,600,600
300.02875,600,600,600,600,600,600,600
308.853125,600,600,600,600,600,600,600
317.6775,600,600,600,600,600,600,600
326.501875,600,600,600,600,600,600,600
335.32625,600,600,600,600,600,600,600
344.150625,600,600,600,600,600,600,600
352.975,600,600,600,600,600,600,600
361.799375,600,600,600,600,600,600,600
370.62375,600,600,600,600,600,600,600
379.448125,600,600,600,600,600,600,600
388.2725,600,600,600,600,600,600,600
397.096875,600,600,600,600,600,600,600
405.92125,600,600,600,600,600,600,600
414.745625,600,600,600,600,600,600,600
423.57,600,600,600,600,600,600,600
432.39437499999997,600,600,600,600,600,600,600
441.21875,600,600,600,600,600,600,600
450.043125,600,600,600,600,600,600,600
458.8675,600,600,600,600,600,600,600
467.691875,600,600,600,600,600,600,600
476.51625,600,600,600,600,600,600,600
485.340625,600,600,600,600,600,600,600
494.16499999999996,600,600,600,600,600,600,600
502.989375,600,600,600,600,600,600,600
511.81374999999997,600,600,600,600,600,600,600
520.638125,600,600,600,600,600,600,600
529.4625,600,600,600,600,600,600,600
538.286875,600,600,600,600,600,600,600
547.11125,600,600,600,600,600,600,600
555.935625,600,600,600,600,600,600,600
564.76,600,600,600,600,600,600,600
573.584375,600,600,600,600,600,600,600
582.4087499999999,600,600,600,600,600,600,600
591.233125,600,600,600,600,600,600,600
600.0575,600,600,600,600,600,600,600
608.881875,600,600,600,600,600,600,600
617.70625,600,600,600,600,600,600,600
626.530625,600,600,600,600,600,600,600
635.355,600,600,600,600,600,600,600
644.1793749999999,600,600,600,600,600,600,600
653.00375,600,600,600,600,600,600,600
661.828125,600,600,600,600,600,600,600
670.6525,600,600,600,600,600,600,600
679.476875,600,600,600,600,600,600,600
688.30125,600,600,600,600,600,600,600
697.125625,600,600,600,600,600,600,600
705.95,600,600,600,600,600,600,600
714.774375,600,600,600,600,600,600,600
723.59875,600,600,600,600,600,600,600
732.423125,600,600,600,600,600,600,600
741.2475,600,600,600,600,600,600,600
