Time(microseconds),Average Signal
0,-54.15359449487644
8,-54.12370233540807
16,-54.08554963853131
24,-54.039094994980445
32,-53.98430901578506
40,-53.9212037468949
48,-53.849838030128275
56,-53.77028049692326
64,-53.68259977871622
72,-53.586864506945325
80,-53.48314331304809
88,-53.37150482846177
96,-53.252017684623524
104,-53.124750512971225
112,-52.989771944942106
120,-52.84715061197335
128,-52.6969551455029
136,-52.539254176967574
144,-52.374116337805674
152,-52.20161025945379
160,-52.02180457334987
168,-51.834767910931184
176,-51.64056890363513
184,-51.439276182899206
192,-51.23095838016101
200,-51.015684126857494
208,-50.793522054426475
216,-50.56454079430537
224,-50.328808977931544
233,-50.08639523674273
241,-49.837368202175625
249,-49.581796505668294
257,-49.31974877865804
265,-49.05129365258222
273,-48.776499758878444
281,-48.49543572898389
289,-48.20817019433616
297,-47.91477178637264
305,-47.61530913653084
313,-47.30985087624802
321,-46.99846563696191
329,-46.68122205010968
337,-46.358188747128935
345,-46.029434359456936
353,-45.6950275185312
361,-45.355036855789216
369,-45.00953100266849
377,-44.65857859060606
385,-44.302248251040005
393,-43.94060861540726
401,-43.573728315145416
409,-43.201675981691984
417,-42.82452024648413
425,-42.44232974095969
433,-42.055173096555706
441,-41.663118944709794
449,-41.266235916859806
457,-40.864592644442304
466,-40.458257758895265
474,-40.04729989165607
482,-39.631787674162446
490,-39.211789737851106
498,-38.78737471416021
506,-38.35861123452682
514,-37.925567930388425
522,-37.48831343318243
530,-37.046916374346196
538,-36.60144538531758
546,-36.15196909753362
554,-35.69855614243172
562,-35.24127515144936
570,-34.78019475602426
578,-34.3153835875936
586,-33.84691027759521
594,-33.37484345746568
602,-32.89925175864332
610,-32.42020381256492
618,-31.93776825066834
626,-31.452013704391184
634,-30.963008805170055
642,-30.470822184443133
650,-29.975522473647683
658,-29.477178304220978
666,-28.975858307600745
674,-28.47163111522415
682,-27.964565358528905
691,-27.454729668951956
699,-26.94219267793148
707,-26.42702301690418
715,-25.9092893173079
723,-25.38906021057991
731,-24.866404328157934
739,-24.341390301478672
747,-23.81408676198066
755,-23.28456234110049
763,-22.752885670275877
771,-22.21912538094421
779,-21.683350104543106
787,-21.145628472509834
795,-20.606029116281665
803,-20.064620667296442
811,-19.521471756991215
819,-18.976651016803597
827,-18.43022707817108
835,-17.882268572530823
843,-17.332844131320787
851,-16.782022385978006
859,-16.22987196794
867,-15.676461508644024
875,-15.121859639527813
883,-14.566134992028747
891,-14.009356748306224
899,-13.45159629340823
907,-12.8929255631043
915,-12.333416493164552
924,-11.773141019359208
