Time (seconds),DLS Value,Temperature
0.0002357959747314453,624.0,29.73
0.0003941059112548828,624.0,35.4
0.0005488395690917969,652.0,36.85
0.0006878376007080078,632.0,36.4
0.0008280277252197266,627.0,36.06
0.0009658336639404297,624.0,38.55
0.0011029243469238281,637.0,38.44
0.0012409687042236328,646.0,37.3
0.0013778209686279297,629.0,36.51
0.0015139579772949219,625.0,36.28
0.001650094985961914,660.0,36.96
0.001786947250366211,631.0,36.4
0.0019237995147705078,626.0,36.06
0.0020608901977539062,624.0,38.67
0.0021979808807373047,664.0,37.75
0.002334117889404297,639.0,36.96
0.0026619434356689453,640.0,36.62
0.0028100013732910156,646.0,36.62
0.0029458999633789062,632.0,36.4
0.0030829906463623047,628.0,36.06
0.0032188892364501953,626.0,35.95
0.0033550262451171875,627.0,35.95
0.00350189208984375,625.0,35.84
0.003638744354248047,625.0,37.87
0.0037751197814941406,626.0,38.67
0.003912925720214844,662.0,37.87
0.009588003158569336,655.0,37.75
0.02618408203125,651.0,37.87
0.04636812210083008,658.0,37.3
0.06296515464782715,640.0,36.85
0.07948708534240723,635.0,36.51
0.0960228443145752,630.0,36.17
0.11617898941040039,630.0,36.17
0.13238883018493652,627.0,35.95
0.14876198768615723,624.0,36.73
0.1650998592376709,625.0,36.28
0.1862189769744873,635.0,37.64
0.20260381698608398,653.0,37.87
0.21912884712219238,646.0,37.18
0.23528695106506348,639.0,36.73
0.25599074363708496,637.0,36.51
0.27237701416015625,633.0,36.28
0.2887420654296875,635.0,36.28
0.30519795417785645,633.0,36.17
0.3256070613861084,632.0,36.17
0.34203100204467773,635.0,36.17
0.3583838939666748,634.0,36.17
0.37470197677612305,643.0,36.4
0.39516592025756836,651.0,36.62
0.41115808486938477,660.0,37.07
0.4276618957519531,654.0,36.96
0.4436650276184082,663.0,37.18
0.46417903900146484,664.0,37.18
0.48047590255737305,656.0,37.52
0.49697113037109375,643.0,37.98
0.5131940841674805,623.0,39.25
0.533729076385498,625.0,37.07
0.5499680042266846,629.0,36.4
0.5663480758666992,629.0,36.17
0.5827951431274414,652.0,36.62
0.6033108234405518,655.0,37.3
0.6196470260620117,624.0,38.78
0.6361649036407471,625.0,36.96
0.6525669097900391,626.0,36.28
0.6729810237884521,627.0,36.06
0.6893560886383057,629.0,36.06
0.7057199478149414,636.0,36.17
0.7220580577850342,649.0,37.3
0.7425949573516846,624.0,37.3
0.7588901519775391,627.0,36.4
0.7753081321716309,630.0,36.17
0.7916288375854492,636.0,36.28
0.8122048377990723,651.0,36.62
0.8286418914794922,624.0,37.52
0.8450069427490234,628.0,36.51
0.8613479137420654,636.0,36.4
0.8818469047546387,655.0,37.18
0.8982150554656982,624.0,39.02
0.9146080017089844,625.0,36.96
0.9310858249664307,629.0,36.4
0.9514577388763428,651.0,36.73
0.9679088592529297,623.0,38.67
0.9842629432678223,626.0,36.96
1.0006439685821533,630.0,36.4
1.0210950374603271,651.0,36.73
1.0374479293823242,624.0,37.98
1.0538361072540283,630.0,36.73
1.07023286819458,654.0,36.85
1.0907480716705322,625.0,36.17
1.1070549488067627,630.0,36.06
1.1235778331756592,662.0,36.73
1.1398789882659912,625.0,38.21
1.1603639125823975,626.0,36.73
1.1768798828125,638.0,36.51
1.1932039260864258,623.0,38.32
1.2094979286193848,627.0,36.85
1.2300140857696533,646.0,36.73
1.246347188949585,638.0,37.87
1.2628099918365479,625.0,36.51
1.2793340682983398,644.0,36.62
1.2996020317077637,624.0,38.09
1.3159377574920654,628.0,36.73
1.3323090076446533,661.0,36.96
1.3488121032714844,625.0,36.28
1.369187831878662,638.0,36.4
1.385643720626831,624.0,37.87
1.402014970779419,639.0,36.96
1.4183619022369385,641.0,37.75
1.438776969909668,625.0,36.51
1.4552228450775146,634.0,36.4
1.4715900421142578,637.0,37.64
1.487994909286499,627.0,36.51
1.508573055267334,653.0,36.73
1.52485990524292,625.0,36.17
1.5413119792938232,633.0,36.17
1.5575990676879883,624.0,38.21
1.578113079071045,628.0,36.73
1.5945391654968262,654.0,37.41
1.6108839511871338,625.0,36.4
1.627290964126587,637.0,36.4
1.6477899551391602,624.0,36.28
1.6641209125518799,650.0,36.62
1.680466890335083,624.0,38.55
1.6968951225280762,627.0,36.85
1.7173631191253662,660.0,37.07
1.7338190078735352,627.0,36.4
1.7500660419464111,659.0,36.85
1.766563892364502,627.0,36.28
1.7870228290557861,658.0,37.07
1.8033668994903564,631.0,36.51
1.8199069499969482,624.0,37.98
1.8361589908599854,636.0,36.96
1.8566689491271973,626.0,36.28
1.8729438781738281,658.0,36.73
1.8893299102783203,627.0,36.28
1.905761957168579,652.0,36.62
1.926220178604126,628.0,36.17
1.9425938129425049,624.0,38.09
1.9590349197387695,638.0,37.07
1.9754400253295898,624.0,37.18
1.9959020614624023,642.0,36.73
2.0122740268707275,625.0,36.17
2.0286359786987305,639.0,37.52
2.0450048446655273,630.0,36.62
2.0654449462890625,624.0,38.32
2.0818169116973877,646.0,37.3
2.0982580184936523,626.0,36.4
2.1146340370178223,637.0,37.87
2.135133981704712,633.0,36.85
2.151453971862793,625.0,36.28
2.167884111404419,656.0,36.73
2.1842410564422607,628.0,36.28
2.204693078994751,624.0,38.21
2.2211217880249023,647.0,37.3
2.237516164779663,625.0,36.4
2.2538819313049316,662.0,36.85
2.2742621898651123,631.0,36.4
2.290881872177124,624.0,37.75
2.3071489334106445,644.0,37.07
2.3235630989074707,627.0,36.28
2.343937873840332,623.0,38.32
2.360388994216919,654.0,37.52
2.3767807483673096,628.0,36.51
2.3931119441986084,625.0,36.73
2.4138269424438477,662.0,37.07
2.429957866668701,630.0,36.4
2.4463329315185547,624.0,37.87
2.4627909660339355,658.0,37.52
2.4832751750946045,634.0,36.73
2.4996440410614014,627.0,36.28
2.5159850120544434,624.0,36.96
2.5323898792266846,664.0,37.18
2.552804946899414,630.0,36.51
2.569257974624634,626.0,36.17
2.5856590270996094,624.0,38.32
2.601970911026001,645.0,37.3
2.622438907623291,628.0,36.4
2.6388959884643555,625.0,36.96
2.6553518772125244,624.0,38.55
2.6716251373291016,642.0,37.3
2.692112922668457,628.0,36.51
2.708526849746704,625.0,36.06
2.7248709201812744,660.0,36.96
2.7412607669830322,636.0,36.51
2.7617719173431396,626.0,36.06
2.778627872467041,624.0,37.64
2.7952768802642822,652.0,37.18
2.8113110065460205,631.0,36.51
2.8318941593170166,626.0,36.06
2.848544120788574,624.0,37.98
2.8649849891662598,633.0,38.32
2.8810677528381348,641.0,37.18
2.9016411304473877,630.0,36.51
2.9181408882141113,628.0,36.17
2.9345507621765137,625.0,35.95
2.9509739875793457,656.0,36.96
2.9713947772979736,642.0,36.73
2.9872100353240967,630.0,36.28
3.003436803817749,627.0,36.06
3.019836902618408,625.0,36.85
3.0402770042419434,639.0,37.87
3.056602954864502,637.0,36.96
3.072957992553711,631.0,36.4
3.0894479751586914,627.0,36.06
3.11028790473938,625.0,35.95
3.1270511150360107,624.0,36.85
3.1467740535736084,647.0,37.52
3.1601932048797607,654.0,37.18
3.179900884628296,645.0,36.85
3.196194887161255,634.0,36.51
3.212791919708252,639.0,36.51
3.229355812072754,639.0,36.51
3.249889850616455,632.0,36.28
3.266300916671753,632.0,36.17
3.2824509143829346,628.0,36.06
3.299067974090576,626.0,35.95
3.3195300102233887,625.0,35.95
3.335533857345581,626.0,35.95
3.3524277210235596,624.0,38.09
3.3683040142059326,628.0,38.44
3.389232873916626,655.0,37.98
3.405510902404785,642.0,37.07
3.421910047531128,632.0,36.51
3.4383230209350586,630.0,36.28
3.458700180053711,628.0,36.06
3.475093126296997,626.0,35.95
3.49153995513916,626.0,35.95
3.507906913757324,625.0,35.84
3.5284130573272705,627.0,35.84
3.5446929931640625,625.0,35.84
3.561147928237915,625.0,36.06
3.577570915222168,625.0,35.95
3.5980801582336426,625.0,36.17
3.614466905593872,626.0,35.95
3.630845069885254,625.0,35.84
3.6471550464630127,625.0,35.95
3.6677231788635254,624.0,36.73
3.684006929397583,624.0,38.21
3.700326919555664,624.0,38.9
3.716794967651367,624.0,39.6
3.737248182296753,628.0,39.02
3.7536299228668213,625.0,37.52
3.7699851989746094,625.0,36.51
3.786314010620117,626.0,36.06
