Time (seconds),DLS Value,Temperature
0.00035881996154785156,627.0,29.52
0.0009799003601074219,660.0,34.41
0.0014448165893554688,627.0,35.4
0.0016148090362548828,634.0,36.06
0.0017609596252441406,625.0,38.09
0.0019028186798095703,629.0,36.85
0.0020449161529541016,630.0,38.09
0.002187013626098633,629.0,36.85
0.0023298263549804688,641.0,36.73
0.0024709701538085938,644.0,37.64
0.002611875534057617,627.0,36.62
0.0027959346771240234,649.0,36.85
0.0029387474060058594,626.0,36.28
0.0030798912048339844,633.0,36.28
0.0032210350036621094,638.0,37.64
0.003368854522705078,627.0,36.62
0.003509998321533203,636.0,36.51
0.0036499500274658203,625.0,37.87
0.003790140151977539,628.0,36.73
0.003929853439331055,657.0,36.96
0.0040760040283203125,625.0,36.96
0.00421595573425293,634.0,36.62
0.004355907440185547,626.0,38.21
0.004495859146118164,631.0,36.96
0.004635810852050781,643.0,37.75
0.0047760009765625,627.0,36.62
0.006340742111206055,633.0,36.51
0.022624969482421875,625.0,38.78
0.03886580467224121,632.0,37.3
0.05990290641784668,625.0,38.67
0.07646799087524414,631.0,37.18
0.09284687042236328,661.0,37.41
0.10880303382873535,628.0,36.51
0.1296830177307129,632.0,37.87
0.1461167335510254,630.0,36.85
0.16237592697143555,659.0,37.07
0.17872214317321777,630.0,36.51
0.19922399520874023,657.0,37.18
0.21536684036254883,627.0,36.4
0.23202300071716309,642.0,36.62
0.24836993217468262,626.0,36.17
0.26868510246276855,661.0,36.96
0.2852480411529541,628.0,36.4
0.3016669750213623,656.0,36.85
0.3180510997772217,630.0,36.4
0.33829593658447266,625.0,37.64
0.3548710346221924,634.0,36.85
0.3709449768066406,626.0,36.28
0.38708996772766113,645.0,36.62
0.40748095512390137,628.0,36.28
0.42386579513549805,636.0,37.52
0.44020795822143555,632.0,36.73
0.45650196075439453,625.0,38.44
0.4769878387451172,633.0,37.07
0.49335193634033203,630.0,38.21
0.5097949504852295,631.0,36.96
0.5261459350585938,625.0,38.44
0.5465648174285889,633.0,37.07
0.5630199909210205,626.0,36.73
