Radius (nm),Contribution 1,Diameter 1 (nm),Contribution 2,Diameter 2 (nm),Contribution 3,Diameter 3 (nm),Contribution 4,Diameter 4 (nm),Contribution 5,Diameter 5 (nm)
11.983715816783755,0.0,12,0.0,68,8.748477161172538e-06,80,3.4294475340173845e-06,94,0.0,68
13.0016154912797,0.0,12,0.0,68,6.939563143796231e-05,80,2.7403833181215123e-06,94,0.0,68
14.105975806463393,0.0,12,0.0,68,0.00020180450367775213,80,0.0,94,0.0,68
15.30414074973891,0.0,12,0.0,68,0.0004093832372484483,80,0.0,94,0.0,68
16.604078108548897,0.0,12,0.0,68,0.0006849455396282817,80,2.172358208271761e-05,94,0.0,68
18.014432456098273,0.0,12,6.774111385811642e-05,68,0.0010153691191559812,80,9.189806036314914e-05,94,0.00021449988250231357,68
19.54458263769802,0.0,12,0.0003309509172368841,68,0.001384960037134207,80,0.00023582311566381722,94,0.0007475782334126408,68
21.204704140012762,0.0,12,0.000814533728291388,68,0.001777570488246852,80,0.0004736096844094149,94,0.0015788073750085166,68
23.005836757966875,0.0,12,0.0014720845795353208,68,0.002177642849318216,80,0.0008165742912946498,94,0.0026063994611856913,68
24.95995800929393,0.0,12,0.002215291233825848,68,0.0025704494051533174,80,0.0012644002749143612,94,0.003686128971397581,68
27.080062784935322,0.0,12,0.002939977145994468,68,0.002941853368034822,80,0.00180355885531769,94,0.004664645194514172,68
29.38024976496281,0.0,12,0.0035476722093511453,68,0.0032779256959258813,80,0.0024073090639379104,94,0.005406156306829128,68
31.875815174689937,0.0,12,0.003961836451743766,68,0.0035647129118458734,80,0.003037386856054746,94,0.00581185803613524,68
34.58335450444997,0.0,12,0.004138196404900219,68,0.0037883696305964797,80,0.003647274462370424,94,0.0058318643079506086,68
37.52087286947619,0.0,12,0.0040690646523363775,68,0.00393575841776081,80,0.004186736303705492,94,0.005469752510365452,68
40.70790474377626,0.0,12,0.003781969025554191,68,0.003995496637527822,80,0.004607140716525244,94,0.004780149782360526,68
44.16564386423065,0.0,12,0.003333378610085549,68,0.003959315167310457,80,0.0048669757279873275,94,0.0038600554087210508,68
47.91708416877635,0.0,12,0.0027987318678100535,68,0.003823506257114848,80,0.0049369236225941275,94,0.0028348196433800503,68
51.9871727059128,0.0,12,0.002260297752106409,68,0.0035901917752406707,80,0.004803886159658804,94,0.0018398836256572615,68
56.40297553237833,0.0,12,0.001794586794223538,68,0.0032681456318925293,80,0.004473444548268788,94,0.0009995281135667979,68
61.19385770221425,0.0,12,0.0014610394368933012,68,0.0028729536436938987,80,0.003970382559975209,94,0.00040397521417519136,68
66.39167854414345,0.0,12,0.0012935353583792212,68,0.0024263805979338267,80,0.003337078753480549,94,8.622735876197437e-05,68
72.03100352585523,0.0,12,0.0012958965806680817,68,0.0019549218122743646,80,0.0026297631362077077,94,0.0,68
78.14933411409355,0.0,12,0.0014420320849552123,68,0.0014876263143399338,80,0.001912813288572652,94,0.0,68
84.78735715911603,0.0,12,0.0016807500230339096,68,0.0010533730683576542,80,0.001251416582792865,94,0.0,68
91.98921546192736,0.0,12,0.0019446194955994017,68,0.0006778467862382785,80,0.0007030353112230844,94,0.0,68
99.80280132355894,0.0,12,0.0021616764269535797,68,0.00038048832991401045,80,0.0003081732969014746,94,0.0,68
108.28007502849391,0.0,12,0.0022683088630330176,68,0.00017168589887683533,80,8.09553617530216e-05,94,0.0,68
117.4774103801496,0.0,12,0.0022213789068309237,68,5.0432447560277136e-05,80,0.0,94,0.0,68
127.45596958622684,0.0,12,0.002007568341850607,68,2.611591038725392e-06,80,0.0,94,0.0,68
138.28210998690966,0.0,12,0.001648071397397424,68,0.0,80,0.0,94,0.0,68
150.02782533065562,0.0,12,0.0011970741517050203,68,0.0,80,0.0,94,0.0,68
162.7712245320558,0.0,12,0.0007329097846712266,68,0.0,80,0.0,94,0.0,68
176.59705109550245,0.0,12,0.00034130584708094296,68,0.0,80,0.0,94,0.0,68
191.59724665882646,0.0,12,9.068579791110803e-05,68,0.0,80,0.0,94,4.192571263925945e-05,68
207.87156240446487,0.0,12,0.0,68,3.0875815632273644e-06,80,0.0,94,0.00015294089349134911,68
225.5282224040389,0.0,12,0.0,68,1.781334703472739e-05,80,0.0,94,0.00032959992645090376,68
244.6846433075788,0.0,12,0.0,68,4.667352150484069e-05,80,0.0,94,0.0005496814451543876,68
265.4682151633228,0.0,12,0.0,68,8.790414307116679e-05,80,0.0,94,0.0007820152884406742,68
288.0171485605343,0.0,12,0.0,68,0.0001370957335720628,80,0.0,94,0.0009941971856385363,68
